,user,text,favorite_count,retweet_count,create_at
0,WilliamsRuto,"Deputy President @rigathi, Cabinet Secretary Defence @HonAdenDuale, Governors Abdi Guyo (Isiolo) and Mohammud Ali (Marsabit) among other leaders were with us. https://t.co/KlrurC98te",188,20,2023-05-21 11:35:43+00:00
1,WilliamsRuto,With the Faithful for an interdenominational prayer service at Isiolo Boys' High School in Isiolo County. https://t.co/6PrWj9i2Y5,219,25,2023-05-21 11:35:42+00:00
2,WilliamsRuto,Look to the LORD and his strength; seek his face always. — 1 Chronicles 16:11 https://t.co/QMpLdxzUIG,759,104,2023-05-21 11:35:41+00:00
3,WilliamsRuto,"Sunday service, Isiolo Boys High School. https://t.co/NUuVaEWOF6",670,104,2023-05-21 07:43:33+00:00
4,WilliamsRuto,"At Mwiteithia Primary School in the area, also launched a water supply project accompanied by Deputy President @rigathi, Cabinet Secretaries, Nyandarua Governor Badilisha Kiarie, MPs, among other leaders. https://t.co/tLMpoDmWE7",222,30,2023-05-20 14:43:40+00:00
5,WilliamsRuto,"Earlier, commissioned the upgrading to bitumen standard of a 40-Kilometre road network in Engineer that will facilitate the movement of agricultural products to the market. https://t.co/1kN7umFm3b",253,36,2023-05-20 14:43:39+00:00
6,WilliamsRuto,"In Nyandarua County, officially opened the Engineer County Hospital’s Twin Inpatient Hospital Block that will accommodate more than 120 patients; pledged to deliver more equipment to make the facility serve more people. https://t.co/AGGkQs77EM",171,21,2023-05-20 14:43:39+00:00
7,WilliamsRuto,"The scaling up of investment in the healthcare will ensure that every Kenyan has access to adequate, quality and affordable medical care. Such a deliberate undertaking will guarantee our country skilled and healthy human capital to drive our development agenda. https://t.co/5zo4IDmqGX",1113,145,2023-05-20 14:43:38+00:00
8,WilliamsRuto,Also delivered a school bus and commissioned the construction of the institution’s administration block. https://t.co/pCdh4Y3WGr,305,45,2023-05-20 10:54:54+00:00
9,WilliamsRuto,"During the centenary anniversary of Limuru Girls High School, Kiambu County, in the company of Deputy President @rigathi, Kiambu Governor Kimani Wamatangi, Majority Leader @KIMANIICHUNGWAH, among other leaders. https://t.co/3GmAKWlmoz",339,54,2023-05-20 10:54:53+00:00
10,WilliamsRuto,"We are expanding and modernising infrastructure in schools so as to boost their enrollment and enhance the quality of education. In the long run, this will empower more of our youth, hence make our country more equal and prosperous. https://t.co/a5uItiws8Z",1238,172,2023-05-20 10:54:53+00:00
11,WilliamsRuto,"Centenary Anniversary Limuru Girls, Kiambu County. https://t.co/16Zyb07BtF",616,96,2023-05-20 08:24:11+00:00
12,WilliamsRuto,"In Kandara, Murang’a County, celebrated the extraordinary life that Mzee Ng’ethe led. Rest In Peace. https://t.co/qhUSa7rXN4",259,32,2023-05-19 12:47:21+00:00
13,WilliamsRuto,"David Wawerū Ng’ethe — father to Hon John Kiarie — was a respected, thoughtful and committed leader.  Our thoughts and prayers to the family and friends at this difficult moment. https://t.co/9Qgrx7adlI",373,40,2023-05-19 12:47:20+00:00
14,WilliamsRuto,"We lay to rest a father, leader and a teacher who dedicated his life to serving people. https://t.co/rAYsCXYhjV",1763,178,2023-05-19 12:47:19+00:00
15,WilliamsRuto,"Funeral service of the late Hon. David Waweru Ng’ethe, Kandara, Murang’a County. https://t.co/rFdODCUIW0",378,59,2023-05-19 10:14:46+00:00
16,WilliamsRuto,"Funeral service of the late Hon. David Waweru Ng’ethe, Kandara, Murang’a County. https://t.co/iLvypsZEl9",563,90,2023-05-19 09:58:04+00:00
17,WilliamsRuto,Also signed MoUs on climate change and another on skills development to facilitate collaboration in human resource capacity building. https://t.co/WqFNtyPrBs,293,55,2023-05-18 11:56:19+00:00
18,WilliamsRuto,"Witnessed the signing of MoU on ICT, which will facilitate cooperation on cybersecurity, digitisation of government services and ICT capacity building. https://t.co/ifDzWmRrw6",299,56,2023-05-18 11:56:19+00:00
19,WilliamsRuto,"Held fruitful engagement with Singapore Prime Minister Lee Hsien Loong at @StateHouseKenya, Nairobi. https://t.co/5s32wxds8O",258,33,2023-05-18 11:56:18+00:00
20,WilliamsRuto,"Deputy President @rigathi, Cabinet Secretary Defence @HonAdenDuale, Governors Abdi Guyo (Isiolo) and Mohammud Ali (Marsabit) among other leaders were with us. https://t.co/KlrurC98te",188,20,2023-05-21 11:35:43+00:00
21,WilliamsRuto,With the Faithful for an interdenominational prayer service at Isiolo Boys' High School in Isiolo County. https://t.co/6PrWj9i2Y5,219,25,2023-05-21 11:35:42+00:00
22,WilliamsRuto,Look to the LORD and his strength; seek his face always. — 1 Chronicles 16:11 https://t.co/QMpLdxzUIG,759,104,2023-05-21 11:35:41+00:00
23,WilliamsRuto,"Sunday service, Isiolo Boys High School. https://t.co/NUuVaEWOF6",670,104,2023-05-21 07:43:33+00:00
24,WilliamsRuto,"At Mwiteithia Primary School in the area, also launched a water supply project accompanied by Deputy President @rigathi, Cabinet Secretaries, Nyandarua Governor Badilisha Kiarie, MPs, among other leaders. https://t.co/tLMpoDmWE7",222,30,2023-05-20 14:43:40+00:00
25,WilliamsRuto,"Earlier, commissioned the upgrading to bitumen standard of a 40-Kilometre road network in Engineer that will facilitate the movement of agricultural products to the market. https://t.co/1kN7umFm3b",253,36,2023-05-20 14:43:39+00:00
